Plural,Singular,Type,Picture,Picture_pl,Final_C,Trigger_txt,Target_txt,New,Target_img,Trigger_img,Target,a,k,New_seg,Corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_1.keys,key_resp_1.rt,key_resp_2.keys,key_resp_2.rt,inputText,text_resp.keys,text_resp.rt,key_resp_4.keys,key_resp_4.rt,FC_resp.keys,FC_resp.rt,gender,age,language,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.8209849995582772,,,,,,,,,,,,,001,2019_Feb_11_1645,experiment2_b,3.0.0,59.83946119462455,
larupu,larub,Alt,Images/rock.jpg,Images/rock_pl.jpg,b,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,001,2019_Feb_11_1645,experiment2_b,3.0.0,59.83946119462455,
nalipu,nalib,Alt,Images/coin.jpg,Images/coin_pl.jpg,b,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,001,2019_Feb_11_1645,experiment2_b,3.0.0,59.83946119462455,
musapu,musab,Alt,Images/apple.jpg,Images/apple_pl.jpg,b,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,001,2019_Feb_11_1645,experiment2_b,3.0.0,59.83946119462455,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.597826263183379,,,,,,,,,,,001,2019_Feb_11_1645,experiment2_b,3.0.0,59.83946119462455,
,,Alt,,,b,musapu,musab,Given,Images/apple.jpg,Images/apple_pl.jpg,sg,,,,,,,,,0,0,0,0,,,,,,,,,musab,"['m', 'u', 's', 'a', 'b', 'return']","[135.90429209342983, 136.1871244876893, 136.30374588595078, 136.45373150757587, 136.6035682255897, 137.20265056971402]",,,,,,,,001,2019_Feb_11_1645,experiment2_b,3.0.0,59.83946119462455,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.1535998409417516,,,,,,001,2019_Feb_11_1645,experiment2_b,3.0.0,59.83946119462455,
,,Alt,,,b,sanub,,,Images/hammock_pl.jpg,Images/hammock.jpg,pl,sanupu,sanubu,Given,a,,,,,,,,,0,0,0,2,,,,,,,,,,a,2.6477068416315888,,,,001,2019_Feb_11_1645,experiment2_b,3.0.0,59.83946119462455,
,,Alt,,,b,nasapu,,,Images/spear.jpg,Images/spear_pl.jpg,sg,nasap,nasab,Given,k,,,,,,,,,0,1,1,1,,,,,,,,,,a,1.2992164853785653,,,,001,2019_Feb_11_1645,experiment2_b,3.0.0,59.83946119462455,
,,Alt,,,b,rumab,,,Images/soldier_pl.jpg,Images/soldier.jpg,pl,rumapu,rumabu,Given,a,,,,,,,,,0,2,2,0,,,,,,,,,,a,3.2968165345300804,,,,001,2019_Feb_11_1645,experiment2_b,3.0.0,59.83946119462455,
