Plural,Singular,Type,Picture,Picture_pl,Final_C,Trigger_txt,Target_txt,New,Target_img,Trigger_img,Target,Number,a,k,New_seg,Corr,Instr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_1.keys,key_resp_1.rt,key_resp_2.keys,key_resp_2.rt,inputText,text_resp.keys,text_resp.rt,key_resp_4.keys,key_resp_4.rt,FC_resp.keys,FC_resp.rt,gender,age,language,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.9259578774544934,,,,,,,,,,,,,001,2019_Feb_12_1100,experiment2_b,3.0.0,60.31156399565387,
musapu,musab,Alt,Images/apple.jpg,Images/apple_pl.jpg,b,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,001,2019_Feb_12_1100,experiment2_b,3.0.0,60.31156399565387,
nalipu,nalib,Alt,Images/coin.jpg,Images/coin_pl.jpg,b,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,001,2019_Feb_12_1100,experiment2_b,3.0.0,60.31156399565387,
larupu,larub,Alt,Images/rock.jpg,Images/rock_pl.jpg,b,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,001,2019_Feb_12_1100,experiment2_b,3.0.0,60.31156399565387,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.7736711055586056,,,,,,,,,,,001,2019_Feb_12_1100,experiment2_b,3.0.0,60.31156399565387,
,,Alt,,,b,musapu,musab,Given,Images/apple.jpg,Images/apple_pl.jpg,sg,Write the singular form on your keyboard - then press enter,,,,,,,,,,0,0,0,0,,,,,,,,,musab,"['m', 'u', 's', 'a', 'b', 'return']","[0.6662604935190757, 1.1990158834196336, 1.4486737081406318, 1.715260249473431, 2.148050112893543, 3.4470716281230125]",,,,,,,,001,2019_Feb_12_1100,experiment2_b,3.0.0,60.31156399565387,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.105165140104873,,,,,,001,2019_Feb_12_1100,experiment2_b,3.0.0,60.31156399565387,
,,Alt,,,b,nasapu,,,Images/spear.jpg,Images/spear_pl.jpg,sg,,nasap,nasab,Given,k,Choose the singular form of the word that belongs to the language,,,,,,,,,0,0,0,1,,,,,,,,,,k,5.328689221221794,,,,001,2019_Feb_12_1100,experiment2_b,3.0.0,60.31156399565387,
,,Alt,,,b,minupu,,,Images/raindrop.jpg,Images/raindrop_pl.jpg,sg,,minup,minub,Given,k,Choose the singular form of the word that belongs to the language,,,,,,,,,0,1,1,3,,,,,,,,,,k,2.2984459610506747,,,,001,2019_Feb_12_1100,experiment2_b,3.0.0,60.31156399565387,
,,Alt,,,b,sanub,,,Images/hammock_pl.jpg,Images/hammock.jpg,pl,,sanupu,sanubu,Given,a,Choose the plural form of the word that belongs to the language,,,,,,,,,0,2,2,2,,,,,,,,,,a,1.2827775758287316,,,,001,2019_Feb_12_1100,experiment2_b,3.0.0,60.31156399565387,
,,Alt,,,b,rumab,,,Images/soldier_pl.jpg,Images/soldier.jpg,pl,,rumapu,rumabu,Given,a,Choose the plural form of the word that belongs to the language,,,,,,,,,0,3,3,0,,,,,,,,,,a,1.9317868034686398,,,,001,2019_Feb_12_1100,experiment2_b,3.0.0,60.31156399565387,
