trig,targ,type,trig_img,targ_img,final_c,new,num,instr,a,k,corr,lang,phase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_1.keys,key_resp_1.rt,key_resp_2.keys,key_resp_2.rt,inputText,text_resp.keys,text_resp.rt,key_resp_4.keys,key_resp_4.rt,FC_resp.keys,FC_resp.rt,gender,age,language,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,20.205226236736053,,,,,,,,,,,,,001,2019_Feb_12_1442,experiment2_b,3.0.0,60.05980796935485,
larub,larupu,alt,Images/rock.jpg,Images/rock_pl.jpg,b,None,None,None,None,None,None,voicing,exposure,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,001,2019_Feb_12_1442,experiment2_b,3.0.0,60.05980796935485,
nalib,nalipu,alt,Images/coin.jpg,Images/coin_pl.jpg,b,None,None,None,None,None,None,voicing,exposure,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,001,2019_Feb_12_1442,experiment2_b,3.0.0,60.05980796935485,
musab,musapu,alt,Images/apple.jpg,Images/apple_pl.jpg,b,None,None,None,None,None,None,voicing,exposure,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,001,2019_Feb_12_1442,experiment2_b,3.0.0,60.05980796935485,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.922460180525377,,,,,,,,,,,001,2019_Feb_12_1442,experiment2_b,3.0.0,60.05980796935485,
mirab,mirapu,alt,Images/hammer.jpg,Images/hammer_pl.jpg,b,new,pl,Write the plural form on your keyboard - then press enter,None,None,None,voicing,prod,,,,,0,0,0,1,,,,,,,,,mirapu,"['m', 'i', 'r', 'a', 'p', 'u', 'return']","[1.6498480263908277, 1.7494543114953558, 1.9160232747453847, 1.9994223125613644, 2.132204666897451, 2.2651222700660583, 2.5660534817398]",,,,,,,,001,2019_Feb_12_1442,experiment2_b,3.0.0,60.05980796935485,
milupu,milub,alt,Images/soap_pl.jpg,Images/soap.jpg,b,given,sg,Write the singular form on your keyboard - then press enter,None,None,None,voicing,prod,,,,,0,1,1,0,,,,,,,,,milub,"['m', 'i', 'l', 'u', 'b', 'return']","[0.9002704123340664, 0.9999927469107206, 1.133441105746897, 1.3499429139010317, 1.5378645532036899, 1.766254179063253]",,,,,,,,001,2019_Feb_12_1442,experiment2_b,3.0.0,60.05980796935485,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.3847816478009918,,,,,,001,2019_Feb_12_1442,experiment2_b,3.0.0,60.05980796935485,
minupu,None,alt,Images/raindrop_pl.jpg,Images/raindrop.jpg,b,given,sg,Choose the singular form of the word that belongs to the language,minup,minub,k,voicing,FC,,,,,,,,,0,0,0,0,,,,,,,,,,a,3.9934662441119144,,,,001,2019_Feb_12_1442,experiment2_b,3.0.0,60.05980796935485,
musupu,None,alt,Images/dog_pl.jpg,Images/dog.jpg,b,new,sg,Choose the singular form of the word that belongs to the language,musub,musup,a,voicing,FC,,,,,,,,,0,1,1,1,,,,,,,,,,k,2.3599709534973954,,,,001,2019_Feb_12_1442,experiment2_b,3.0.0,60.05980796935485,
