trig,targ,type,trig_img,targ_img,final_c,new,num,instr,a,k,corr,lang,phase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_1.keys,key_resp_1.rt,key_resp_2.keys,key_resp_2.rt,inputText,text_resp.keys,text_resp.rt,key_resp_4.keys,key_resp_4.rt,FC_resp.keys,FC_resp.rt,gender,age,language,group,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.2863552819744655,,,,,,,,,,,,,devoicing,001,2019_Feb_13_1310,experiment2_b,3.0.0,60.03293762123102,
larup,larubu,alt,Images/rock.jpg,Images/rock_pl.jpg,b,None,None,None,None,None,None,devoicing,exposure,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,devoicing,001,2019_Feb_13_1310,experiment2_b,3.0.0,60.03293762123102,
musap,musabu,alt,Images/apple.jpg,Images/apple_pl.jpg,b,None,None,None,None,None,None,devoicing,exposure,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,devoicing,001,2019_Feb_13_1310,experiment2_b,3.0.0,60.03293762123102,
nalip,nalibu,alt,Images/coin.jpg,Images/coin_pl.jpg,b,None,None,None,None,None,None,devoicing,exposure,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,devoicing,001,2019_Feb_13_1310,experiment2_b,3.0.0,60.03293762123102,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,14.309108851246492,,,,,,,,,,,devoicing,001,2019_Feb_13_1310,experiment2_b,3.0.0,60.03293762123102,
namap,namabu,alt,Images/worm.jpg,Images/worm_pl.jpg,b,new,pl,Write the plural form on your keyboard - then press enter,None,None,None,devoicing,prod,,,,,0,0,0,1,,,,,,,,,namabu,"['n', 'a', 'm', 'a', 'b', 'u', 'return']","[0.600258714550364, 0.7335060941259144, 0.9335896302563924, 1.0496421342922986, 1.6172569090085744, 1.7315085652262496, 3.414921993125972]",,,,,,,,devoicing,001,2019_Feb_13_1310,experiment2_b,3.0.0,60.03293762123102,
mirap,mirabu,alt,Images/hammer.jpg,Images/hammer_pl.jpg,b,new,pl,Write the plural form on your keyboard - then press enter,None,None,None,devoicing,prod,,,,,0,1,1,0,,,,,,,,,mirabu,"['m', 'i', 'r', 'a', 'b', 'u', 'return']","[1.483077320835946, 1.582960165467739, 1.9821668708846119, 2.087048657447667, 2.281717704197945, 2.41523130718997, 3.097624638636262]",,,,,,,,devoicing,001,2019_Feb_13_1310,experiment2_b,3.0.0,60.03293762123102,
limibu,limip,alt,Images/ring_pl.jpg,Images/ring.jpg,b,new,sg,Write the singular form on your keyboard - then press enter,None,None,None,devoicing,prod,,,,,0,2,2,2,,,,,,,,,limip,"['l', 'i', 'm', 'i', 'p', 'return']","[0.4669793369666877, 0.6003862799370836, 0.7368637516337913, 0.8158681101886032, 0.9823302740387589, 1.7324202950985637]",,,,,,,,devoicing,001,2019_Feb_13_1310,experiment2_b,3.0.0,60.03293762123102,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.9392161597606901,,,,,,devoicing,001,2019_Feb_13_1310,experiment2_b,3.0.0,60.03293762123102,
nurat,None,alt,Images/copier.jpg,Images/copier_pl.jpg,d,given,pl,Choose the plural form of the word that belongs to the language,nuradu,nuratu,a,devoicing,FC,,,,,,,,,0,0,0,2,,,,,,,,,,a,1.307389918323679,,,,devoicing,001,2019_Feb_13_1310,experiment2_b,3.0.0,60.03293762123102,
munibu,None,alt,Images/calender_pl.jpg,Images/calender.jpg,b,new,sg,Choose the singular form of the word that belongs to the language,munip,munib,a,devoicing,FC,,,,,,,,,0,1,1,0,,,,,,,,,,k,0.9114645018380543,,,,devoicing,001,2019_Feb_13_1310,experiment2_b,3.0.0,60.03293762123102,
murabu,None,alt,Images/mouse_pl.jpg,Images/mouse.jpg,b,new,sg,Choose the singular form of the word that belongs to the language,murab,murap,k,devoicing,FC,,,,,,,,,0,2,2,1,,,,,,,,,,k,1.2065398806080339,,,,devoicing,001,2019_Feb_13_1310,experiment2_b,3.0.0,60.03293762123102,
