trig,targ,type,trig_img,targ_img,final_c,new,num,instr,a,k,corr,lang,phase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_1.keys,key_resp_1.rt,key_resp_2.keys,key_resp_2.rt,inputText,text_resp.keys,text_resp.rt,key_resp_4.keys,key_resp_4.rt,gender,age,participant,language,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,space,2.7696609703825743,,,,,,,,,,001,,2019_Feb_14_1031,experiment2_b,3.0.0,60.186569367853416,
mamad,mamadu,non_alt,Images/ice-cream.jpg,Images/ice-cream_pl.jpg,d,None,None,None,None,None,None,voicing,exposure,0,0,0,10,,,,,,,,,,,,,,,,001,,2019_Feb_14_1031,experiment2_b,3.0.0,60.186569367853416,
sunag,sunaku,alt,Images/nose.jpg,Images/nose_pl.jpg,g,None,None,None,None,None,None,voicing,exposure,0,1,1,5,,,,,,,,,,,,,,,,001,,2019_Feb_14_1031,experiment2_b,3.0.0,60.186569367853416,
milud,milutu,alt,Images/banana.jpg,Images/banana_pl.jpg,d,None,None,None,None,None,None,voicing,exposure,0,2,2,15,,,,,,,,,,,,,,,,001,,2019_Feb_14_1031,experiment2_b,3.0.0,60.186569367853416,
nirug,niruku,alt,Images/garbage_can.jpg,Images/garbage_can_pl.jpg,g,None,None,None,None,None,None,voicing,exposure,0,3,3,2,,,,,,,,,,,,,,,,001,,2019_Feb_14_1031,experiment2_b,3.0.0,60.186569367853416,
samug,samuku,alt,Images/sleigh.jpg,Images/sleigh_pl.jpg,g,None,None,None,None,None,None,voicing,exposure,0,4,4,7,,,,,,,,,,,,,,,,001,,2019_Feb_14_1031,experiment2_b,3.0.0,60.186569367853416,
sanub,sanupu,alt,Images/hammock.jpg,Images/hammock_pl.jpg,b,None,None,None,None,None,None,voicing,exposure,0,5,5,11,,,,,,,,,,,,,,,,001,,2019_Feb_14_1031,experiment2_b,3.0.0,60.186569367853416,
silud,silutu,alt,Images/moustache.jpg,Images/moustache_pl.jpg,d,None,None,None,None,None,None,voicing,exposure,0,6,6,6,,,,,,,,,,,,,,,,001,,2019_Feb_14_1031,experiment2_b,3.0.0,60.186569367853416,
lunid,lunitu,alt,Images/ship.jpg,Images/ship_pl.jpg,d,None,None,None,None,None,None,voicing,exposure,0,7,7,12,,,,,,,,,,,,,,,,001,,2019_Feb_14_1031,experiment2_b,3.0.0,60.186569367853416,
rumud,rumutu,alt,Images/river.jpg,Images/river_pl.jpg,d,None,None,None,None,None,None,voicing,exposure,0,8,8,13,,,,,,,,,,,,,,,,001,,2019_Feb_14_1031,experiment2_b,3.0.0,60.186569367853416,
rimab,rimapu,alt,Images/bean.jpg,Images/bean_pl.jpg,b,None,None,None,None,None,None,voicing,exposure,0,9,9,17,,,,,,,,,,,,,,,,001,,2019_Feb_14_1031,experiment2_b,3.0.0,60.186569367853416,
milub,milupu,alt,Images/soap.jpg,Images/soap_pl.jpg,b,None,None,None,None,None,None,voicing,exposure,0,10,10,19,,,,,,,,,,,,,,,,001,,2019_Feb_14_1031,experiment2_b,3.0.0,60.186569367853416,
rumid,rumidu,non_alt,Images/mushroom.jpg,Images/mushroom_pl.jpg,d,None,None,None,None,None,None,voicing,exposure,0,11,11,3,,,,,,,,,,,,,,,,001,,2019_Feb_14_1031,experiment2_b,3.0.0,60.186569367853416,
lirid,liritu,alt,Images/bridge.jpg,Images/bridge_pl.jpg,d,None,None,None,None,None,None,voicing,exposure,0,12,12,8,,,,,,,,,,,,,,,,001,,2019_Feb_14_1031,experiment2_b,3.0.0,60.186569367853416,
