trig,targ,type,trig_img,targ_img,final_c,new,num,instr,a,k,corr,lang,phase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_1.keys,key_resp_1.rt,key_resp_2.keys,key_resp_2.rt,inputText,text_resp.keys,text_resp.rt,key_resp_4.keys,key_resp_4.rt,FC_resp.keys,FC_resp.rt,gender,age,participant,language,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.209849555287292,,,,,,,,,,,,001,,2019_Feb_14_1038,experiment2_b,3.0.0,60.172354926888765,
silut,siludu,alt,Images/moustache.jpg,Images/moustache_pl.jpg,d,None,None,None,None,None,None,devoicing,exposure,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1038,experiment2_b,3.0.0,60.172354926888765,
masit,masidu,alt,Images/thermometer.jpg,Images/thermometer_pl.jpg,d,None,None,None,None,None,None,devoicing,exposure,0,1,1,14,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1038,experiment2_b,3.0.0,60.172354926888765,
rumit,rumitu,non_alt,Images/mushroom.jpg,Images/mushroom_pl.jpg,d,None,None,None,None,None,None,devoicing,exposure,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1038,experiment2_b,3.0.0,60.172354926888765,
nurak,nuraku,non_alt,Images/lion.jpg,Images/lion_pl.jpg,g,None,None,None,None,None,None,devoicing,exposure,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1038,experiment2_b,3.0.0,60.172354926888765,
nasap,nasabu,alt,Images/spear.jpg,Images/spear_pl.jpg,b,None,None,None,None,None,None,devoicing,exposure,0,4,4,10,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1038,experiment2_b,3.0.0,60.172354926888765,
sanup,sanubu,alt,Images/hammock.jpg,Images/hammock_pl.jpg,b,None,None,None,None,None,None,devoicing,exposure,0,5,5,16,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1038,experiment2_b,3.0.0,60.172354926888765,
ranut,ranudu,alt,Images/carpet.jpg,Images/carpet_pl.jpg,d,None,None,None,None,None,None,devoicing,exposure,0,6,6,15,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1038,experiment2_b,3.0.0,60.172354926888765,
niruk,nirugu,alt,Images/garbage_can.jpg,Images/garbage_can_pl.jpg,g,None,None,None,None,None,None,devoicing,exposure,0,7,7,13,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1038,experiment2_b,3.0.0,60.172354926888765,
musap,musabu,alt,Images/apple.jpg,Images/apple_pl.jpg,b,None,None,None,None,None,None,devoicing,exposure,0,8,8,19,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1038,experiment2_b,3.0.0,60.172354926888765,
