trig,targ,type,trig_img,targ_img,final_c,new,num,instr,a,k,corr,lang,phase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_1.keys,key_resp_1.rt,key_resp_2.keys,key_resp_2.rt,gender,age,participant,language,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,space,1.9428519989905908,,,,,001,,2019_Feb_14_1122,experiment2_b,3.0.3,60.10184563144585,
narap,narapu,non_alt,Images/watch.jpg,Images/watch_pl.jpg,b,None,None,None,None,None,None,devoicing,exposure,0,0,0,17,,,,,,,001,,2019_Feb_14_1122,experiment2_b,3.0.3,60.10184563144585,
mamat,mamatu,non_alt,Images/ice-cream.jpg,Images/ice-cream_pl.jpg,d,None,None,None,None,None,None,devoicing,exposure,0,1,1,6,,,,,,,001,,2019_Feb_14_1122,experiment2_b,3.0.3,60.10184563144585,
rimuk,rimugu,alt,Images/door.jpg,Images/door_pl.jpg,g,None,None,None,None,None,None,devoicing,exposure,0,2,2,14,,,,,,,001,,2019_Feb_14_1122,experiment2_b,3.0.3,60.10184563144585,
rimak,rimagu,alt,Images/bottle.jpg,Images/bottle_pl.jpg,g,None,None,None,None,None,None,devoicing,exposure,0,3,3,9,,,,,,,001,,2019_Feb_14_1122,experiment2_b,3.0.3,60.10184563144585,
minup,minubu,alt,Images/raindrop.jpg,Images/raindrop_pl.jpg,b,None,None,None,None,None,None,devoicing,exposure,0,4,4,3,,,,,,,001,,2019_Feb_14_1122,experiment2_b,3.0.3,60.10184563144585,
rinak,rinagu,alt,Images/pen.jpg,Images/pen_pl.jpg,g,None,None,None,None,None,None,devoicing,exposure,0,5,5,19,,,,,,,001,,2019_Feb_14_1122,experiment2_b,3.0.3,60.10184563144585,
rimap,rimabu,alt,Images/bean.jpg,Images/bean_pl.jpg,b,None,None,None,None,None,None,devoicing,exposure,0,6,6,15,,,,,,,001,,2019_Feb_14_1122,experiment2_b,3.0.3,60.10184563144585,
sunak,sunagu,alt,Images/nose.jpg,Images/nose_pl.jpg,g,None,None,None,None,None,None,devoicing,exposure,0,7,7,10,,,,,,,001,,2019_Feb_14_1122,experiment2_b,3.0.3,60.10184563144585,
silut,siludu,alt,Images/moustache.jpg,Images/moustache_pl.jpg,d,None,None,None,None,None,None,devoicing,exposure,0,8,8,7,,,,,,,001,,2019_Feb_14_1122,experiment2_b,3.0.3,60.10184563144585,
nalip,nalibu,alt,Images/coin.jpg,Images/coin_pl.jpg,b,None,None,None,None,None,None,devoicing,exposure,0,9,9,12,,,,,,,001,,2019_Feb_14_1122,experiment2_b,3.0.3,60.10184563144585,
samuk,samugu,alt,Images/sleigh.jpg,Images/sleigh_pl.jpg,g,None,None,None,None,None,None,devoicing,exposure,0,10,10,4,,,,,,,001,,2019_Feb_14_1122,experiment2_b,3.0.3,60.10184563144585,
narit,naridu,alt,Images/squid.jpg,Images/squid_pl.jpg,d,None,None,None,None,None,None,devoicing,exposure,0,11,11,8,,,,,,,001,,2019_Feb_14_1122,experiment2_b,3.0.3,60.10184563144585,
sumak,sumagu,alt,Images/basketball.jpg,Images/basketball_pl.jpg,g,None,None,None,None,None,None,devoicing,exposure,0,12,12,5,,,,,,,001,,2019_Feb_14_1122,experiment2_b,3.0.3,60.10184563144585,
niruk,nirugu,alt,Images/garbage_can.jpg,Images/garbage_can_pl.jpg,g,None,None,None,None,None,None,devoicing,exposure,0,13,13,16,,,,,,,001,,2019_Feb_14_1122,experiment2_b,3.0.3,60.10184563144585,
sanup,sanubu,alt,Images/hammock.jpg,Images/hammock_pl.jpg,b,None,None,None,None,None,None,devoicing,exposure,0,14,14,13,,,,,,,001,,2019_Feb_14_1122,experiment2_b,3.0.3,60.10184563144585,
lunit,lunidu,alt,Images/ship.jpg,Images/ship_pl.jpg,d,None,None,None,None,None,None,devoicing,exposure,0,15,15,11,,,,,,,001,,2019_Feb_14_1122,experiment2_b,3.0.3,60.10184563144585,
limik,limigu,alt,Images/screwdriver.jpg,Images/screwdriver_pl.jpg,g,None,None,None,None,None,None,devoicing,exposure,0,16,16,0,,,,,,,001,,2019_Feb_14_1122,experiment2_b,3.0.3,60.10184563144585,
namak,namagu,alt,Images/anvil.jpg,Images/anvil_pl.jpg,g,None,None,None,None,None,None,devoicing,exposure,0,17,17,18,,,,,,,001,,2019_Feb_14_1122,experiment2_b,3.0.3,60.10184563144585,
musabu,musap,alt,Images/apple_pl.jpg,Images/apple.jpg,b,given,sg,Write the singular form on your keyboard - then press enter,None,None,None,devoicing,prod,0,18,18,1,,,,,,,001,,2019_Feb_14_1122,experiment2_b,3.0.3,60.10184563144585,
lirit,liridu,alt,Images/bridge.jpg,Images/bridge_pl.jpg,d,None,None,None,None,None,None,devoicing,exposure,0,19,19,2,,,,,,,001,,2019_Feb_14_1122,experiment2_b,3.0.3,60.10184563144585,
,,,,,,,,,,,,,,,,,,,,space,2.7610269524020623,,,001,,2019_Feb_14_1122,experiment2_b,3.0.3,60.10184563144585,
