Plural,Singular,Test_cond,New_seg,Filler,Picture,Picture_pl,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Trigger_txt,Target_txt,Target_img,Trigger_img,key_resp_1.keys,key_resp_1.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,space,1.5264549248713593,,,012,001,2019_Jan_17_1558,experiment2_b,3.0.0,59.98249506746416,
rumutu,rumud,0,0,0,Images/river.jpg,Images/river_pl.jpg,0,0,0,2,,,,,,,,,,,,,012,001,2019_Jan_17_1558,experiment2_b,3.0.0,59.98249506746416,
nalipu,nalib,0,0,0,Images/coin.jpg,Images/coin_pl.jpg,0,1,1,4,,,,,,,,,,,,,012,001,2019_Jan_17_1558,experiment2_b,3.0.0,59.98249506746416,
larupu,larub,0,0,0,Images/rock.jpg,Images/rock_pl.jpg,0,2,2,1,,,,,,,,,,,,,012,001,2019_Jan_17_1558,experiment2_b,3.0.0,59.98249506746416,
musapu,musab,0,0,0,Images/apple.jpg,Images/apple_pl.jpg,0,3,3,0,,,,,,,,,,,,,012,001,2019_Jan_17_1558,experiment2_b,3.0.0,59.98249506746416,
limiku,limig,0,0,0,Images/screwdriver.jpg,Images/screwdriver_pl.jpg,0,4,4,3,,,,,,,,,,,,,012,001,2019_Jan_17_1558,experiment2_b,3.0.0,59.98249506746416,
rumutu,rumud,0,0,0,Images/river.jpg,Images/river_pl.jpg,1,0,5,2,,,,,,,,,,,,,012,001,2019_Jan_17_1558,experiment2_b,3.0.0,59.98249506746416,
larupu,larub,0,0,0,Images/rock.jpg,Images/rock_pl.jpg,1,1,6,1,,,,,,,,,,,,,012,001,2019_Jan_17_1558,experiment2_b,3.0.0,59.98249506746416,
nalipu,nalib,0,0,0,Images/coin.jpg,Images/coin_pl.jpg,1,2,7,4,,,,,,,,,,,,,012,001,2019_Jan_17_1558,experiment2_b,3.0.0,59.98249506746416,
musapu,musab,0,0,0,Images/apple.jpg,Images/apple_pl.jpg,1,3,8,0,,,,,,,,,,,,,012,001,2019_Jan_17_1558,experiment2_b,3.0.0,59.98249506746416,
limiku,limig,0,0,0,Images/screwdriver.jpg,Images/screwdriver_pl.jpg,1,4,9,3,,,,,,,,,,,,,012,001,2019_Jan_17_1558,experiment2_b,3.0.0,59.98249506746416,
,,,,,,,,,,,,,,,,,,,,,space,6.2635495891699975,012,001,2019_Jan_17_1558,experiment2_b,3.0.0,59.98249506746416,
