Plural,Singular,Type,Picture,Picture_pl,Final_C,Trigger_txt,Target_txt,New,Target_img,Trigger_img,Target,a,k,New_seg,Corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_1.keys,key_resp_1.rt,key_resp_2.keys,key_resp_2.rt,inputText,text_resp.keys,text_resp.rt,key_resp_4.keys,key_resp_4.rt,FC_resp.keys,FC_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.3761064589730267,,,,,,,,,,111,001,2019_Feb_07_0944,experiment2_b,3.0.0,60.199349199962285,
musapu,musab,Alt,Images/apple.jpg,Images/apple_pl.jpg,b,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,111,001,2019_Feb_07_0944,experiment2_b,3.0.0,60.199349199962285,
larupu,larub,Alt,Images/rock.jpg,Images/rock_pl.jpg,b,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,111,001,2019_Feb_07_0944,experiment2_b,3.0.0,60.199349199962285,
nalipu,nalib,Alt,Images/coin.jpg,Images/coin_pl.jpg,b,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,111,001,2019_Feb_07_0944,experiment2_b,3.0.0,60.199349199962285,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.304368582452753,,,,,,,,111,001,2019_Feb_07_0944,experiment2_b,3.0.0,60.199349199962285,
,,Alt,,,b,musapu,musab,Given,Images/apple.jpg,Images/apple_pl.jpg,sg,,,,,,,,,0,0,0,0,,,,,,,,,musab,"['m', 'u', 's', 'a', 'b', 'return']","[1.0507490729378333, 1.2727908790407128, 1.4003956545407164, 1.5330836992375225, 1.7661862554200525, 2.565455356822895]",,,,,111,001,2019_Feb_07_0944,experiment2_b,3.0.0,60.199349199962285,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.9050032338382152,,,111,001,2019_Feb_07_0944,experiment2_b,3.0.0,60.199349199962285,
,,Alt,,,b,minupu,,,Images/raindrop.jpg,Images/raindrop_pl.jpg,sg,minup,minub,Given,k,,,,,,,,,0,0,0,3,,,,,,,,,,k,1.6793359454327401,111,001,2019_Feb_07_0944,experiment2_b,3.0.0,60.199349199962285,
,,Alt,,,b,sanub,,,Images/hammock.jpg,Images/hammock_pl.jpg,pl,sanupu,sanubu,Given,a,,,,,,,,,0,1,1,2,,,,,,,,,,a,3.6069052255070346,111,001,2019_Feb_07_0944,experiment2_b,3.0.0,60.199349199962285,
,,Alt,,,b,rumab,,,Images/soldier.jpg,Images/soldier_pl.jpg,pl,rumapu,rumabu,Given,a,,,,,,,,,0,2,2,0,,,,,,,,,,k,9.037460899570306,111,001,2019_Feb_07_0944,experiment2_b,3.0.0,60.199349199962285,
