Plural,Singular,Test_cond,New_seg,Filler,Picture,Picture_pl,Trigger_txt,Target_txt,Target_img,Trigger_img,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_1.keys,key_resp_1.rt,key_resp_2.keys,key_resp_2.rt,inputText,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,space,17.186548926143587,,,,,,,,111,001,2019_Jan_17_1644,experiment2_b,3.0.0,60.02919760422711,
limiku,limig,0,0,0,Images/screwdriver.jpg,Images/screwdriver_pl.jpg,,,,,0,0,0,3,,,,,,,,,,,,,,111,001,2019_Jan_17_1644,experiment2_b,3.0.0,60.02919760422711,
musapu,musab,0,0,0,Images/apple.jpg,Images/apple_pl.jpg,,,,,0,1,1,0,,,,,,,,,,,,,,111,001,2019_Jan_17_1644,experiment2_b,3.0.0,60.02919760422711,
rumutu,rumud,0,0,0,Images/river.jpg,Images/river_pl.jpg,,,,,0,2,2,2,,,,,,,,,,,,,,111,001,2019_Jan_17_1644,experiment2_b,3.0.0,60.02919760422711,
larupu,larub,0,0,0,Images/rock.jpg,Images/rock_pl.jpg,,,,,0,3,3,1,,,,,,,,,,,,,,111,001,2019_Jan_17_1644,experiment2_b,3.0.0,60.02919760422711,
nalipu,nalib,0,0,0,Images/coin.jpg,Images/coin_pl.jpg,,,,,0,4,4,4,,,,,,,,,,,,,,111,001,2019_Jan_17_1644,experiment2_b,3.0.0,60.02919760422711,
,,,,,,,,,,,,,,,,,,,,,space,6.623809304386668,,,,,,111,001,2019_Jan_17_1644,experiment2_b,3.0.0,60.02919760422711,
,,0,0,0,,,larupu,larub,Images/rock.jpg,Images/rock_pl.jpg,,,,,0,0,0,1,,,,,larub,"['l', 'a', 'r', 'u', 'b', 'return']","[2.865657791327976, 2.9653425764518033, 3.1305709792395646, 3.280802355835476, 4.130000537588785, 6.4102644511185645]",,,111,001,2019_Jan_17_1644,experiment2_b,3.0.0,60.02919760422711,
,,0,0,0,,,rumutu,rumud,Images/river.jpg,Images/river_pl.jpg,,,,,0,1,1,2,,,,,yes,"['y', 'e', 's', 'return']","[1.0663342148109223, 1.1837342637882102, 1.4163468865517643, 1.6822477875648474]",,,111,001,2019_Jan_17_1644,experiment2_b,3.0.0,60.02919760422711,
,,0,0,0,,,musapu,musab,Images/apple.jpg,Images/apple_pl.jpg,,,,,0,2,2,0,,,,,apple,"['a', 'å', 'backspace', 'p', 'p', 'l', 'e', 'return']","[0.9497926015828853, 1.3403766024202923, 2.3467628182988847, 2.6477008684196335, 2.7982270656430046, 2.98169680151841, 3.065351621600712, 3.863584660452034]",,,111,001,2019_Jan_17_1644,experiment2_b,3.0.0,60.02919760422711,
,,0,0,0,,,larupu,larub,Images/rock.jpg,Images/rock_pl.jpg,,,,,1,0,3,1,,,,,ruck,"['r', 'u', 'c', 'k', 'return']","[1.830780212287209, 2.0657505467606825, 2.5465705662354594, 2.6630631137995806, 2.8696252834051847]",,,111,001,2019_Jan_17_1644,experiment2_b,3.0.0,60.02919760422711,
,,0,0,0,,,musapu,musab,Images/apple.jpg,Images/apple_pl.jpg,,,,,1,1,4,0,,,,,oneple,"['o', 'n', 'e', 'p', 'l', 'e', 'return']","[0.6665156297603971, 0.7663433452871686, 0.8830825011355046, 1.0492879505836754, 1.13477526646966, 1.2672666330472566, 2.0827771847216354]",,,111,001,2019_Jan_17_1644,experiment2_b,3.0.0,60.02919760422711,
,,0,0,0,,,rumutu,rumud,Images/river.jpg,Images/river_pl.jpg,,,,,1,2,5,2,,,,,line,"['l', 'i', 'n', 'e', 'apostrophe', 'return']","[3.0324908545881044, 3.201370169274014, 3.3162252037072903, 3.4143019150978944, 3.5966141280114243, 4.93470597722262]",,,111,001,2019_Jan_17_1644,experiment2_b,3.0.0,60.02919760422711,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.307077231060248,111,001,2019_Jan_17_1644,experiment2_b,3.0.0,60.02919760422711,
