Plural,Singular,Test_cond,New_seg,Filler,Picture,Picture_pl,Trigger_txt,Target_txt,Target_img,Trigger_img,Corr,Incorr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_1.keys,key_resp_1.rt,key_resp_2.keys,key_resp_2.rt,inputText,text_resp.keys,text_resp.rt,key_resp_4.keys,key_resp_4.rt,FC_resp.keys,FC_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7595435007533524,,,,,,,,,,111,001,2019_Jan_24_1801,experiment2_b,3.0.0,60.11019700402685,
limiku,limig,0,0,0,Images/screwdriver.jpg,Images/screwdriver_pl.jpg,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,111,001,2019_Jan_24_1801,experiment2_b,3.0.0,60.11019700402685,
rumutu,rumud,0,0,0,Images/river.jpg,Images/river_pl.jpg,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,111,001,2019_Jan_24_1801,experiment2_b,3.0.0,60.11019700402685,
musapu,musab,0,0,0,Images/apple.jpg,Images/apple_pl.jpg,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,111,001,2019_Jan_24_1801,experiment2_b,3.0.0,60.11019700402685,
larupu,larub,0,0,0,Images/rock.jpg,Images/rock_pl.jpg,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,111,001,2019_Jan_24_1801,experiment2_b,3.0.0,60.11019700402685,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.6868500485434197,,,,,,,,111,001,2019_Jan_24_1801,experiment2_b,3.0.0,60.11019700402685,
,,0,0,0,,,larupu,larub,Images/rock.jpg,Images/rock_pl.jpg,,,,,,,0,0,0,1,,,,,,,,,larub,"['l', 'a', 'r', 'u', 'b', 'return']","[2.414703968766844, 2.6310880254313815, 2.997434218239505, 3.1807865012669936, 3.6634768603980774, 3.979860277089756]",,,,,111,001,2019_Jan_24_1801,experiment2_b,3.0.0,60.11019700402685,
,,0,0,0,,,rumutu,rumud,Images/river.jpg,Images/river_pl.jpg,,,,,,,0,1,1,2,,,,,,,,,rumud,"['r', 'u', 'm', 'u', 'd', 'return']","[0.7998937679367373, 0.9489352261734894, 1.348985569071374, 1.6321644250565441, 1.9652685132896295, 2.714500677277101]",,,,,111,001,2019_Jan_24_1801,experiment2_b,3.0.0,60.11019700402685,
,,0,0,0,,,musapu,musab,Images/apple.jpg,Images/apple_pl.jpg,,,,,,,0,2,2,0,,,,,,,,,musab,"['m', 'u', 's', 'a', 'b', 'return']","[0.6996614652744029, 0.9826816130953375, 1.1161129302345216, 1.2658323111827485, 1.3988941625575535, 1.6654841771814972]",,,,,111,001,2019_Jan_24_1801,experiment2_b,3.0.0,60.11019700402685,
,,0,0,0,,,limiku,limig,Images/screwdriver.jpg,Images/screwdriver_pl.jpg,,,,,,,0,3,3,3,,,,,,,,,limig,"['l', 'i', 'm', 'i', 'g', 'return']","[0.5829631920787506, 0.6997770833113464, 0.8662768646609038, 0.9828168563399231, 1.1992905063088983, 1.3824819480068982]",,,,,111,001,2019_Jan_24_1801,experiment2_b,3.0.0,60.11019700402685,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.055040156992618,,,111,001,2019_Jan_24_1801,experiment2_b,3.0.0,60.11019700402685,
,,0,0,0,,,rumutu,,Images/river.jpg,Images/river_pl.jpg,rumud,rumut,,,,,,,,,0,0,0,2,,,,,,,,,,k,2.081532472235267,111,001,2019_Jan_24_1801,experiment2_b,3.0.0,60.11019700402685,
,,0,0,0,,,larupu,,Images/rock.jpg,Images/rock_pl.jpg,larub,larup,,,,,,,,,0,1,1,1,,,,,,,,,,k,6.659960109638632,111,001,2019_Jan_24_1801,experiment2_b,3.0.0,60.11019700402685,
