Plural,Singular,Test_cond,New_seg,Filler,Picture,Picture_pl,Trigger_txt,Target_txt,Target_img,Trigger_img,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Corr,Incorr,key_resp_1.keys,key_resp_1.rt,key_resp_2.keys,key_resp_2.rt,inputText,text_resp.keys,text_resp.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,space,3.102432885003509,,,,,,,,111,001,2019_Jan_24_1807,experiment2_b,3.0.0,60.14876003597964,
limiku,limig,0,0,0,Images/screwdriver.jpg,Images/screwdriver_pl.jpg,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,111,001,2019_Jan_24_1807,experiment2_b,3.0.0,60.14876003597964,
larupu,larub,0,0,0,Images/rock.jpg,Images/rock_pl.jpg,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,111,001,2019_Jan_24_1807,experiment2_b,3.0.0,60.14876003597964,
musapu,musab,0,0,0,Images/apple.jpg,Images/apple_pl.jpg,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,111,001,2019_Jan_24_1807,experiment2_b,3.0.0,60.14876003597964,
rumutu,rumud,0,0,0,Images/river.jpg,Images/river_pl.jpg,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,111,001,2019_Jan_24_1807,experiment2_b,3.0.0,60.14876003597964,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,31.190913958431338,,,,,,111,001,2019_Jan_24_1807,experiment2_b,3.0.0,60.14876003597964,
,,0,0,0,,,rumutu,rumud,Images/river.jpg,Images/river_pl.jpg,,,,,0,0,0,2,,,,,,,,,,,rumud,"['r', 'u', 'm', 'u', 'd', 'return']","[1.01582388515817, 1.1490994805790251, 1.4324844011716777, 1.6489606109535089, 1.7650381304993061, 1.8819488678273046]",,,111,001,2019_Jan_24_1807,experiment2_b,3.0.0,60.14876003597964,
,,0,0,0,,,limiku,limig,Images/screwdriver.jpg,Images/screwdriver_pl.jpg,,,,,0,1,1,3,,,,,,,,,,,limig,"['l', 'i', 'm', 'i', 'g', 'return']","[1.0659773670195136, 1.149333276451216, 1.3487880371540086, 1.7986458611121634, 2.131476476424723, 2.44719732926751]",,,111,001,2019_Jan_24_1807,experiment2_b,3.0.0,60.14876003597964,
,,0,0,0,,,larupu,larub,Images/rock.jpg,Images/rock_pl.jpg,,,,,0,2,2,1,,,,,,,,,,,larub,"['l', 'a', 'r', 'u', 'b', 'return']","[0.932660388018121, 1.1326266838732408, 1.4321170685871039, 1.5820467805024236, 1.8149864010047168, 2.09839009353891]",,,111,001,2019_Jan_24_1807,experiment2_b,3.0.0,60.14876003597964,
,,0,0,0,,,musapu,musab,Images/apple.jpg,Images/apple_pl.jpg,,,,,0,3,3,0,,,,,,,,,,,musab,"['m', 'u', 's', 'a', 'b', 'return']","[3.313715669224621, 3.6970022504974622, 3.813534136119415, 3.9794289493001997, 4.096202310232911, 4.529464466657373]",,,111,001,2019_Jan_24_1807,experiment2_b,3.0.0,60.14876003597964,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.9050298110960284,111,001,2019_Jan_24_1807,experiment2_b,3.0.0,60.14876003597964,
